workload	comm1	comm2	comm3	comm4	comm5	leslie	libq	black	face	ferret	fluid	freq	stream	swapt	MT-canneal	MT-fluid	mummer	tigr	Amean
20nm_base_bkgd	.415	.396	.452	.492	.520	.444	.383	.469	.396	.396	.458	.460	.442	.451	.389	.571	.396	.392	.426
20nm_base_act	.265	.282	.235	.200	.176	.242	.292	.219	.282	.282	.229	.227	.243	.235	.288	.133	.281	.283	.255
20nm_base_rdwr	.196	.204	.172	.147	.128	.176	.214	.161	.202	.204	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_base_ref	.121	.116	.140	.159	.174	.136	.109	.149	.118	.116	.145	.145	.137	.141	.111	.194	.110	.106	.128
20nm_spec_bkgd	.364	.341	.408	.458	.495	.372	.337	.427	.371	.358	.422	.428	.406	.410	.334	.435	.336	.336	.371
20nm_spec_act	.266	.281	.235	.199	.177	.242	.292	.219	.282	.281	.229	.227	.243	.235	.288	.133	.281	.284	.255
20nm_spec_rdwr	.197	.204	.171	.147	.128	.176	.213	.160	.202	.204	.166	.166	.177	.171	.210	.100	.211	.217	.188
20nm_spec_ref	.105	.098	.126	.148	.166	.112	.094	.135	.111	.104	.133	.135	.125	.128	.093	.145	.091	.088	.109
20nm_norefresh_bkgd	.388	.367	.426	.468	.497	.402	.349	.439	.370	.367	.432	.437	.418	.429	.360	.520	.367	.365	.396
20nm_norefresh_act	.265	.282	.235	.199	.177	.242	.292	.218	.283	.280	.229	.227	.242	.236	.287	.132	.281	.284	.255
20nm_norefresh_rdwr	.197	.204	.172	.147	.128	.177	.214	.160	.203	.203	.166	.166	.177	.172	.210	.100	.211	.217	.189
20nm_norefresh_ref	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20nm_ref_pr_pv_64_bkgd	.386	.368	.430	.477	.515	.396	.357	.447	.387	.376	.443	.446	.425	.435	.352	.450	.353	.350	.390
20nm_ref_pr_pv_64_act	.264	.282	.235	.199	.177	.243	.292	.219	.282	.281	.229	.228	.243	.236	.288	.132	.281	.284	.255
20nm_ref_pr_pv_64_rdwr	.196	.204	.171	.147	.128	.177	.213	.161	.203	.204	.166	.166	.177	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_64_ref	.111	.105	.132	.154	.172	.118	.100	.141	.115	.109	.139	.140	.130	.135	.098	.149	.095	.092	.114
20nm_ref_pr_pv_default_bkgd	.370	.349	.419	.467	.495	.379	.347	.429	.371	.361	.423	.433	.416	.420	.338	.438	.339	.341	.376
20nm_ref_pr_pv_default_act	.265	.282	.234	.199	.176	.242	.292	.219	.281	.282	.229	.227	.243	.236	.287	.132	.281	.284	.255
20nm_ref_pr_pv_default_rdwr	.196	.204	.171	.146	.127	.177	.213	.160	.202	.204	.165	.165	.177	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_default_ref	.044	.043	.061	.067	.057	.042	.046	.062	.043	.042	.052	.059	.061	.050	.044	.072	.041	.045	.049
20nm_ref_pr_pv_multi_dimm_bkgd	.372	.350	.422	.471	.496	.380	.342	.429	.373	.363	.429	.436	.413	.420	.338	.432	.339	.340	.376
20nm_ref_pr_pv_multi_dimm_act	.265	.282	.235	.200	.177	.242	.292	.218	.282	.282	.230	.228	.243	.236	.288	.132	.281	.284	.255
20nm_ref_pr_pv_multi_dimm_rdwr	.196	.204	.172	.147	.128	.176	.213	.160	.203	.204	.166	.166	.177	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_multi_dimm_ref	.049	.046	.070	.077	.063	.047	.046	.071	.049	.048	.059	.068	.068	.056	.045	.073	.041	.047	.052
20nm_ref_pr_pv_multi_bin_bkgd	.368	.348	.417	.467	.496	.375	.342	.429	.371	.359	.423	.433	.411	.418	.336	.430	.336	.337	.374
20nm_ref_pr_pv_multi_bin_act	.264	.282	.234	.199	.177	.242	.292	.219	.282	.281	.229	.228	.243	.235	.287	.132	.281	.284	.255
20nm_ref_pr_pv_multi_bin_rdwr	.196	.204	.171	.146	.128	.177	.214	.161	.203	.204	.166	.166	.177	.171	.209	.100	.211	.217	.188
20nm_ref_pr_pv_multi_bin_ref	.044	.042	.062	.068	.057	.042	.046	.062	.044	.043	.052	.059	.059	.050	.044	.070	.040	.044	.049
20nm_ref_pr_pv_fixed_dimm_bkgd	.379	.358	.430	.477	.510	.385	.346	.441	.381	.370	.431	.442	.422	.429	.341	.439	.341	.343	.382
20nm_ref_pr_pv_fixed_dimm_act	.265	.283	.235	.199	.176	.243	.291	.218	.282	.281	.229	.227	.243	.236	.287	.132	.281	.284	.255
20nm_ref_pr_pv_fixed_dimm_rdwr	.196	.204	.172	.146	.128	.177	.213	.160	.202	.204	.166	.165	.177	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_fixed_dimm_ref	.087	.074	.125	.154	.170	.082	.065	.138	.085	.084	.102	.139	.129	.097	.063	.097	.057	.061	.085
20nm_ref_pr_pv_fixed_bin_bkgd	.359	.338	.411	.459	.496	.363	.337	.419	.367	.354	.419	.426	.402	.412	.321	.393	.323	.321	.362
20nm_ref_pr_pv_fixed_bin_act	.265	.282	.235	.199	.177	.242	.292	.219	.281	.281	.229	.227	.242	.236	.287	.133	.281	.283	.255
20nm_ref_pr_pv_fixed_bin_rdwr	.196	.204	.172	.146	.128	.177	.213	.160	.202	.204	.166	.166	.177	.172	.210	.100	.211	.217	.188
20nm_ref_pr_pv_fixed_bin_ref	.046	.049	.068	.071	.063	.042	.046	.061	.045	.045	.055	.059	.058	.052	.045	.059	.039	.040	.048
